FAC_PARTY_ID,SERVICE_TYPE_CD,NAME,ADDRESS_1,ADDRESS_2,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE,WEBSITE,EMAIL,OP_WEEKDAY_YN,OP_WEEKEND_YN,OP_STAT_HOLIDAY_YN,OP_OVERNIGHT_YN,OP_EXT_WEEKDAY_BEFORE6AM_YN,OP_EXT_WEEKDAY_AFTER7PM_YN,SRVC_UNDER36_YN,SRVC_30MOS_5YRS_YN,SRVC_LICPRE_YN,SRVC_OOS_KINDER_YN,SRVC_OOS_GR1_AGE12_YN,LANG_CANTONESE_YN,LANG_PUNJABI_YN,LANG_MANDARIN_YN,LANG_FRENCH_YN,LANG_SPANISH_YN,LANG_OTHER_YN,PROVIDE_CD_MEALS,PROVIDE_CD_PICKUP,PRESCHOOL_MORNING_YN,PRESCHOOL_MIDDAY_YN,PRESCHOOL_AFTERNOON_YN,ABORIGINAL_PROGRAMMING_YN,ACCOMMODATE_SPECIAL_NEEDS,ECE_CERTIFICATION_YN,ELF_PROGRAMMING_YN,VACANCY_SRVC_UNDER36,VACANCY_SRVC_30MOS_5YRS,VACANCY_SRVC_LICPRE,VACANCY_SRVC_OOS_GR1_AGE12,VACANCY_LAST_UPDATE,HA_FAC_INSPEC_RPTS,IS_INCOMPLETE_IND,IS_CCFRI_AUTH,IS_DUPLICATE,popup
11,Licensed Group,Whistler Children's Centre,7146 Nesters Rd,,Whistler,V0N 1B7,50.12399,-122.960699,604-932-1119,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-02,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Whistler Children's Centre<br>Licensed Group<br>604-932-1119<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
12,Licensed Group,Castleview Child Care Centre,1075 Joan Cres,,Victoria,V8S 3L3,48.423331,-123.343216,250-595-5355,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-19,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Castleview Child Care Centre<br>Licensed Group<br>250-595-5355<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
13,Licensed Group,Camosun College Child Care Services - Interurban,4461 Interurban Rd,,Victoria,V9E 2C1,48.491032,-123.416365,250-370-4880,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-04,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Camosun College Child Care Services - Interurban<br>Licensed Group<br>250-370-4880<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
14,Licensed Group,Camosun College Child Care Services - Lansdowne,3211 Richmond Rd,,Victoria,V8P 4P2,48.448484,-123.325345,250-370-4880,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-04,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Camosun College Child Care Services - Lansdowne<br>Licensed Group<br>250-370-4880<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
15,Licensed Group,ywca Crabtree Corner Early Learning And Care Center (<36Mos),533 E. Hastings St,,Vancouver,V6A 1P9,49.28151,-123.092378,604-216-1655,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-02,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,ywca Crabtree Corner Early Learning And Care Center (<36Mos)<br>Licensed Group<br>604-216-1655<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
16,Licensed Group,6Th Avenue Childcare,520 6Th Ave,,Kamloops,V2C 3R7,50.672937,-120.32746,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-29,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,6Th Avenue Childcare<br>Licensed Group<br>250-828-6675<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
17,Licensed Group,Gingerbread House,559 Battle St,,Kamloops,V2C 2M1,50.672974,-120.327839,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-29,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,Gingerbread House<br>Licensed Group<br>250-828-6675<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
18,Licensed Group,Summit Childcare,1565 Summit Dr,,Kamloops,V2E 1E9,50.657927,-120.338601,250-828-6675,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,Y,Y,N,Y,2026-01-29,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,Summit Childcare<br>Licensed Group<br>250-828-6675<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: Y<br>
19,Licensed Group,Cedar Grove Childcare Centre,10330 144 St,,Surrey,V3T 4V3,49.190475,-122.822825,604-584-2311,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2026-01-06,http://www.healthspace.ca/fha/childcare,N,Y,N,Cedar Grove Childcare Centre<br>Licensed Group<br>604-584-2311<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: Y<br>
20,Licensed Group,St. Barnabas Daycare Society,1005 Napanee St,,New Westminster,V3M 5Y2,49.207788,-122.924806,604-526-6956,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,N,2026-02-03,http://www.healthspace.ca/fha/childcare,N,Y,N,St. Barnabas Daycare Society<br>Licensed Group<br>604-526-6956<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
21,Licensed Group,St. Matthews Day Care Society,103-7355 Canada Way,,Burnaby,V3N 4Z6,49.223387,-122.940843,604-527-1031,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-02-06,http://www.healthspace.ca/fha/childcare,N,Y,N,St. Matthews Day Care Society<br>Licensed Group<br>604-527-1031<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
22,Licensed Group,Springridge Early Childhood Centre,1222 Gladstone Ave,,Victoria,V8T 1G6,48.430895,-123.34878,250-384-2132,,,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-15,https://www.healthspace.ca/clients/viha/viha_website.nsf/CCFL-Main?OpenView,N,Y,N,Springridge Early Childhood Centre<br>Licensed Group<br>250-384-2132<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
23,Licensed Group,Kidcare Early Learning Center,1045 Western Avenue,,Williams Lake,V2G 2J8,52.145828,-122.15134,250-302-3444,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2026-01-21,https://www.interiorhealth.ca/HedgehogPortal/facility/Table,N,Y,N,Kidcare Early Learning Center<br>Licensed Group<br>250-302-3444<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: Y<br>
24,Licensed Group,Northside ymca Child Care,45465 Bernard Ave,,Chilliwack,V2P 1H6,49.164731,-121.965953,604-792-8010,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-06,http://www.healthspace.ca/fha/childcare,N,Y,N,Northside ymca Child Care<br>Licensed Group<br>604-792-8010<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
25,Licensed Group,Little Mountain ymca Kids Club,9900 Carleton St,,Chilliwack,V2P 6E5,49.181666,-121.929289,604-819-3338,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-06,http://www.healthspace.ca/fha/childcare,N,Y,N,Little Mountain ymca Kids Club<br>Licensed Group<br>604-819-3338<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
26,Licensed Group,Discovery World Daycare,870 Francis Ave,,Kelowna,V1Y 5G5,49.870191,-119.483527,250-868-7395,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,Y,N,Y,2026-01-22,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,Discovery World Daycare<br>Licensed Group<br>250-868-7395<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: Y<br>
27,Licensed Group,Bright Angels Children's Centre Ii,21176 Yeoman's Cres,,Langley,V1M 2P7,49.177182,-122.637094,604-599-1943,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-21,http://www.healthspace.ca/fha/childcare,N,Y,N,Bright Angels Children's Centre Ii<br>Licensed Group<br>604-599-1943<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
28,Licensed Group,Creekview Tiny Tots (18Mths - 3Yrs Gdc),1483 Lamey's Mill Rd,,Vancouver,V6H 3Y7,49.269319,-123.137045,604-742-0212,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-15,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Creekview Tiny Tots (18Mths - 3Yrs Gdc)<br>Licensed Group<br>604-742-0212<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
29,Licensed Group,Delbrook Wonderland Academy,#120 - 3721 Delbrook Ave,,North Vancouver,V7N 3Z4,49.343297,-123.086546,778-340-9595,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,Y,N,2026-01-26,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Delbrook Wonderland Academy<br>Licensed Group<br>778-340-9595<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: Y<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
30,Licensed Group,Kids Club,2855 Acadia Rd,,Vancouver,V6T 1S1,49.261738,-123.234515,604-827-9232,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-22,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Kids Club<br>Licensed Group<br>604-827-9232<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
31,Licensed Group,Swamp,101-2730 Acadia Rd,,Vancouver,V6T 1S1,49.262634,-123.235138,604-837-9232,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,2026-01-22,https://inspections.vcha.ca/ChildCare/Table,N,Y,N,Swamp<br>Licensed Group<br>604-837-9232<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
32,Licensed Group,Kids Club Child Care,3300 37 Ave,,Vernon,V1T 2Y5,50.26863,-119.275795,250-762-3989,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-16,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,Kids Club Child Care<br>Licensed Group<br>250-762-3989<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
33,Licensed Group,Boys & Girls Club Of Kamloops - L S Neighbourhood Club -,492 mcgill Rd,,Kamloops,V2C 1M3,50.670089,-120.352419,250-554-5437,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-09,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,Boys & Girls Club Of Kamloops - L S Neighbourhood Club -<br>Licensed Group<br>250-554-5437<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
34,Licensed Group,First Steps Childcare Centre,480 Kenora Rd,,Kamloops,V2B 3X6,50.697406,-120.369904,250-554-5437,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Not offered,Not offered,N,N,N,N,N,N,N,N,N,N,N,2026-01-09,https://hedgehogportal.interiorhealth.ca/ChildCare/Map,N,Y,N,First Steps Childcare Centre<br>Licensed Group<br>250-554-5437<br><br>Vacancy:<br>&nbsp;&nbsp;&nbsp;&nbsp;<36 months: N<br>&nbsp;&nbsp;&nbsp;&nbsp;30 months -- 5 years: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Preschool: N<br>&nbsp;&nbsp;&nbsp;&nbsp;Grade 1 - Age 12: N<br>
